pl_name,pl_letter,pl_rade,pl_masse,pl_dens,pl_orbper,pl_eqt,pl_insol,st_teff,st_rad,st_mass,st_spectype,disc_year,discoverymethod,disc_facility,tran_flag,ra,dec,planet_size_class,discovery_era,habitable_candidate
Kepler-1874 b,b,2.21110724,,,56.57320023,,,4701.0,0.775,0.758,,2021,Transit,Kepler,1,286.3718158,43.692081,Neptune-like,2016+,False
Kepler-255 d,d,1.323,,,,,1686.09,5332.0,0.926,,,2016,Transit,Kepler,1,296.0642702,45.9767647,Super-Earth,2016+,False
Kepler-1837 b,b,1.43,,,5.90609759,1012.0,247.83,5966.0,0.961,1.049,,2021,Transit,Kepler,1,288.2076012,45.6834463,Super-Earth,2016+,False
Kepler-1072 b,b,1.63,,,1.569066502,,2698.9,6004.0,1.32,1.116,,2016,Transit,Kepler,1,292.0443891,46.3289723,Super-Earth,2016+,False
Kepler-1388 e,e,2.09,,,37.6327084,294.0,1.77,3903.0,0.523,0.541,,2016,Transit,Kepler,1,283.3360156,47.1744499,Neptune-like,2016+,False
K2-274 b,b,2.18,,,14.13168,,,,0.7209,,,2018,Transit,K2,1,129.2823699,20.3992512,Neptune-like,2016+,False
Kepler-123 c,c,1.4,,,26.6951944,706.0,58.81,6086.0,1.216,1.013,,2014,Transit,Kepler,1,296.9985853,42.7819633,Super-Earth,2010–2015,False
Kepler-56 b,b,4.96,,,10.5007334,1368.0,828.32,4840.0,4.23,1.32,,2012,Transit,Kepler,1,293.7583002,41.871807,Neptune-like,2010–2015,False
Kepler-196 b,b,1.913,,,20.73991798,,19.6,5146.0,0.779,0.839,,2014,Transit,Kepler,1,284.9685077,42.0791214,Super-Earth,2010–2015,False
Kepler-41 b,b,10.05,,,1.855557556,1436.0,1004.89,5657.0,0.947,0.903,,2011,Transit,Kepler,1,294.5132465,45.9816453,Gas Giant,2010–2015,False
K2-180 b,b,4.4,,,8.867259,,,,0.65,,,2018,Transit,K2,1,126.4643579,10.246577,Neptune-like,2016+,False
Kepler-1504 b,b,6.193,,,,,25.17,5605.0,1.975,,,2016,Transit,Kepler,1,289.7119947,50.1282265,Gas Giant,2016+,False
Kepler-185 c,c,1.708,,,20.72913358,,16.3,5037.0,0.718,0.763,,2014,Transit,Kepler,1,282.4681674,43.8899464,Super-Earth,2010–2015,False
Kepler-349 b,b,2.002,,,5.92973644,,231.3,5884.0,0.966,1.083,,2014,Transit,Kepler,1,293.6764689,44.6155972,Neptune-like,2010–2015,False
Kepler-1295 b,b,1.5,,,3.81371974,1040.0,276.65,5561.0,0.836,0.919,,2016,Transit,Kepler,1,291.3978451,45.588553,Super-Earth,2016+,False
Kepler-1080 b,b,3.7,,,77.2550726,548.0,21.37,6564.0,1.356,1.212,,2016,Transit,Kepler,1,296.4644914,49.1828952,Neptune-like,2016+,False
Kepler-1766 b,b,1.89,,,105.0141157,410.0,6.7,5855.0,1.069,0.917,,2021,Transit,Kepler,1,294.2772343,46.6752351,Super-Earth,2016+,False
Kepler-1718 b,b,2.5,,,135.1878234,363.0,4.12,5712.0,0.989,0.784,,2021,Transit,Kepler,1,292.2349191,42.9094618,Neptune-like,2016+,False
TOI-1135 b,b,9.02,51.42,0.41,8.02773,1198.9,,6122.0,1.16,1.125,G0,2024,Transit,Transiting Exoplanet Survey Satellite (TESS),1,193.3963704,85.1294952,Gas Giant,2016+,False
TOI-715 b,b,1.55,,,19.288004,234.0,0.67,3075.0,0.24,0.225,M4,2023,Transit,Transiting Exoplanet Survey Satellite (TESS),1,113.8523276,-73.5774089,Super-Earth,2016+,True
Kepler-1379 b,b,1.28,,,0.881841146,1565.0,1418.14,5260.0,0.778,0.856,,2016,Transit,Kepler,1,293.6704404,41.4102105,Super-Earth,2016+,False
Kepler-1182 b,b,2.05,,,11.17394617,796.0,94.84,5911.0,0.914,1.006,,2016,Transit,Kepler,1,296.3079895,43.8213706,Neptune-like,2016+,False
KOI-12 b,b,18.37,,,17.855219698,,,6918.0,1.91,1.55,,2015,Transit,Kepler,1,297.4537402,41.0110188,Gas Giant,2010–2015,False
Kepler-1991 c,c,2.18,,,22.79021423,584.0,27.56,5632.0,0.857,0.953,,2023,Transit,Kepler,1,285.0360506,45.0709909,Neptune-like,2016+,False
Kepler-1697 b,b,1.25954761,,,33.4969,,,4681.53,0.772344,0.747,,2020,Transit,Kepler,1,287.663331,43.4713782,Super-Earth,2016+,False
K2-244 b,b,1.65007129,,,21.070201,,,5728.0,0.890903,,,2018,Transit,K2,1,183.4686492,-3.8318097,Super-Earth,2016+,False
Kepler-533 b,b,8.21,,,28.51120525,669.0,47.43,4880.0,1.741,0.956,,2016,Transit,Kepler,1,293.6856893,48.8249915,Gas Giant,2016+,False
Kepler-308 c,c,2.19,,,15.3825006,715.0,61.61,5896.0,0.914,1.0,,2014,Transit,Kepler,1,295.7852423,40.4395753,Neptune-like,2010–2015,False
K2-30 b,b,14.83669218,,,4.09847409321,1078.61,319.8755,5198.0,1.06395,,,2016,Transit,K2,1,52.3420548,22.2993491,Gas Giant,2016+,False
Kepler-392 c,c,1.31,,,10.42312041,1088.0,330.95,6474.0,1.403,1.104,,2014,Transit,Kepler,1,288.660826,43.3681938,Super-Earth,2010–2015,False
Kepler-1232 b,b,1.59,,,26.7838935,523.0,17.69,5242.0,0.856,0.869,,2016,Transit,Kepler,1,296.5500966,49.102307,Super-Earth,2016+,False
Kepler-1611 b,b,1.31,,,5.17624997,1243.0,565.42,5578.0,1.497,1.001,,2016,Transit,Kepler,1,296.5120204,49.7277506,Super-Earth,2016+,False
Kepler-650 b,b,3.49,,,3.032145588,1641.0,1715.71,6042.0,1.574,1.033,,2016,Transit,Kepler,1,289.0009451,45.1542968,Neptune-like,2016+,False
Kepler-370 b,b,1.498,,,,,361.514,5649.0,1.058,,,2014,Transit,Kepler,1,292.1710683,40.9162381,Super-Earth,2010–2015,False
Kepler-205 c,c,1.22,,,20.30707932,345.0,,3834.0,0.48,0.51,M1 V,2014,Transit,Kepler,1,285.2866912,41.8609357,Earth-like,2010–2015,True
Kepler-1896 b,b,2.2,,,44.8686,469.0,,5878.0,0.82,1.05,,2021,Transit,Kepler,1,289.6785786,40.2496475,Neptune-like,2016+,False
Kepler-394 d,d,1.293,,,5.61357629,,302.0,5871.0,0.993,0.87,,2021,Transit,Kepler,1,296.3019792,50.6723115,Super-Earth,2016+,False
Kepler-1945 b,b,1.05,,,6.08004821,808.0,100.72,4991.0,0.804,0.767,,2021,Transit,Kepler,1,281.8980828,42.2858185,Earth-like,2016+,False
Kepler-323 b,b,1.57,,,1.6783263,1659.0,1797.15,6015.0,1.081,0.998,,2014,Transit,Kepler,1,291.3822988,38.1274595,Super-Earth,2010–2015,False
Kepler-65 b,b,1.521,,3.843609,2.154909039,,,,,1.249,,2012,Transit,Kepler,1,288.6887221,41.1511076,Super-Earth,2010–2015,False
Kepler-1713 b,b,1.75,,,18.01167665,893.0,150.48,6463.0,1.447,1.318,,2021,Transit,Kepler,1,287.3456737,43.3783894,Super-Earth,2016+,False
HAT-P-54 b,b,10.581296,578.4506,2.7,3.799847,,,4390.0,0.617,0.645,,2015,Transit,HATNet,1,99.8979924,25.4824005,Gas Giant,2010–2015,False
Kepler-118 b,b,1.67,,,7.51849479,861.0,129.65,5275.0,0.978,0.86,,2014,Transit,Kepler,1,299.2131881,41.4248195,Super-Earth,2010–2015,False
Kepler-805 b,b,2.75,,,30.8638931,752.0,75.47,6034.0,1.592,1.12,,2016,Transit,Kepler,1,293.2300178,45.053364,Neptune-like,2016+,False
Kepler-467 b,b,2.464,,,,,72.749,5764.0,1.414,,,2016,Transit,Kepler,1,287.3629145,38.6497341,Neptune-like,2016+,False
Kepler-483 b,b,2.6,,,30.22935,696.0,,6568.0,1.18,1.23,,2016,Transit,Kepler,1,291.6467764,41.8846843,Neptune-like,2016+,False
K2-163 b,b,2.46610713,,,6.673117,,,4937.0,0.762201,0.826112,,2018,Transit,K2,1,182.3292517,-0.5393421,Neptune-like,2016+,False
Kepler-397 c,c,5.7,,,135.4977745,273.0,1.31,5114.0,0.682,0.736,,2014,Transit,Kepler,1,295.8940373,42.3805156,Neptune-like,2010–2015,False
Kepler-172 e,e,2.47,,,35.1185226,,,5599.0,1.03,1.0,,2014,Transit,Kepler,1,283.3684093,41.821839,Neptune-like,2010–2015,False
Kepler-251 e,e,3.27,,,99.6409653,,,5622.0,0.91,0.95,,2014,Transit,Kepler,1,296.5662171,44.1058077,Neptune-like,2010–2015,False
Kepler-1000 b,b,4.54,,,120.0183551,473.0,11.84,6469.0,1.467,1.406,,2016,Transit,Kepler,1,286.6854729,47.0981948,Neptune-like,2016+,False
Kepler-768 b,b,1.79,,,11.3910025,,,5108.0,0.78,0.82,,2016,Transit,Kepler,1,294.1156858,38.3934378,Super-Earth,2016+,False
Kepler-206 b,b,1.11,,,7.78200916,946.0,189.4,5762.0,1.06,0.981,,2014,Transit,Kepler,1,291.6346564,41.8338415,Earth-like,2010–2015,False
Kepler-1317 b,b,1.471,,,,,2413.261,5220.0,0.77,,,2016,Transit,Kepler,1,291.6118842,42.1159787,Super-Earth,2016+,False
Kepler-765 b,b,2.27,,,27.66556,644.0,,6058.0,1.05,1.031,,2016,Transit,Kepler,1,283.1846044,47.1557114,Neptune-like,2016+,False
K2-101 b,b,1.85,,,14.675828,,,,0.725,,,2016,Transit,K2,1,130.3439097,18.9338205,Super-Earth,2016+,False
GJ 9827 c,c,1.241,1.3,3.7,3.648096,813.0,73.0,4305.0,0.602,0.606,,2017,Transit,K2,1,351.7717763,-1.2853435,Earth-like,2016+,False
CoRoT-22 b,b,4.88,12.2,0.249,9.75598,885.0,,5939.0,1.136,1.099,G3 V,2014,Transit,CoRoT,1,280.6671392,6.2191669,Neptune-like,2010–2015,False
PDS 70 c,c,22.86636,635.66,,,995.0,,3972.0,,,,2019,Imaging,European Southern Observatory,0,212.0421402,-41.3980405,Gas Giant,2016+,False
Kepler-343 c,c,1.53,,,23.2218189,689.0,53.23,6122.0,1.047,1.022,,2014,Transit,Kepler,1,291.960662,42.4329567,Super-Earth,2010–2015,False
Kepler-1365 b,b,0.79,,,7.69993485,891.0,148.79,5831.0,0.921,1.016,,2016,Transit,Kepler,1,292.1996573,42.0459944,Earth-like,2016+,False
HATS-5 b,b,10.2196833,,,4.76339524216,938.37,183.2395,5258.0,0.87551,,,2014,Transit,HATSouth,1,67.2228465,-21.4820568,Gas Giant,2010–2015,False
Kepler-474 b,b,3.74,,,5.660691,1164.0,,5723.0,1.3,0.956,,2016,Transit,Kepler,1,292.3215174,43.8811723,Neptune-like,2016+,False
Kepler-174 b,b,1.96,,,13.98179,,,4880.0,0.622,,,2014,Transit,Kepler,1,287.4389454,43.8320052,Super-Earth,2010–2015,False
Kepler-508 b,b,2.36,,,25.30889748,862.0,130.61,6283.0,1.768,1.269,,2016,Transit,Kepler,1,295.4042546,42.9812789,Neptune-like,2016+,False
Kepler-513 b,b,2.541,,,,,36.527,5748.0,1.092,,,2016,Transit,Kepler,1,285.0416235,50.0753913,Neptune-like,2016+,False
Kepler-1535 b,b,2.55,,,138.9442,,,6021.0,1.11,1.08,,2016,Transit,Kepler,1,286.613685,38.8919507,Neptune-like,2016+,False
WASP-61 b,b,14.52229131,,,3.85588998097,1455.98,1062.0298,6244.5,1.43256,,,2012,Transit,SuperWASP,1,75.2996637,-26.0541438,Gas Giant,2010–2015,False
TOI-163 b,b,16.690201,387.7526,0.49,4.231306,1669.0,,6495.0,1.648,1.4352,F,2019,Transit,Transiting Exoplanet Survey Satellite (TESS),1,79.7682532,-71.8955269,Gas Giant,2016+,False
Kepler-202 b,b,1.91,,,4.069428401,843.0,119.56,4806.0,0.72,0.758,,2014,Transit,Kepler,1,282.9734874,41.3217991,Super-Earth,2010–2015,False
Kepler-1355 b,b,1.39,,,1.289588112,1450.0,1045.87,5471.0,0.809,0.9,,2016,Transit,Kepler,1,283.7414249,49.0679833,Super-Earth,2016+,False
Kepler-1943 b,b,1.309,,,4.85026423,,724.2,5807.0,1.592,1.208,,2021,Transit,Kepler,1,293.3182976,41.1166697,Super-Earth,2016+,False
Kepler-162 b,b,1.682,,,,,305.946,5870.0,1.152,,,2014,Transit,Kepler,1,297.2789115,43.7239693,Super-Earth,2010–2015,False
HIP 9618 b,b,3.91576,,,20.7724316,1060.0,209.722,5625.56,0.97,,,2023,Transit,Transiting Exoplanet Survey Satellite (TESS),1,30.9050061,21.2813274,Neptune-like,2016+,False
Kepler-1109 b,b,1.901,,,,,11.382,5438.0,0.939,,,2016,Transit,Kepler,1,291.6462654,39.3966122,Super-Earth,2016+,False
