pl_name,pl_rade,pl_orbper,sy_snum,sy_pnum,disc_year
Kepler-392 b,1.2,5.341788,1,2,2014
TOI-1470 c,2.47,18.08816,1,2,2023
Kepler-132 b,1.22,6.17817366,2,4,2014
WASP-118 b,15.625346,4.0460407,1,1,2016
Kepler-1807 b,2.14,10.86060638,1,1,2021
Kepler-524 c,1.03,1.88897906,1,2,2016
Kepler-1146 b,1.35,2.352265797,1,1,2016
Kepler-1094 b,3.059,,1,1,2016
Kepler-79 b,2.73,13.48458665,1,4,2012
Kepler-223 e,48.785,19.7240891,1,4,2014
Kepler-280 c,2.04,4.807099588,1,2,2014
Kepler-1218 b,1.36,22.9221266,1,1,2016
Kepler-1630 b,2.62,509.997402,1,1,2016
Kepler-1828 b,1.74,10.27377201,1,1,2021
Kepler-1347 b,0.99,14.00947528,1,1,2016
Kepler-32 b,2.25,5.901,1,5,2011
WASP-164 b,12.643752,1.7771255,1,1,2018
K2-24 c,7.5,42.3391,1,2,2016
Kepler-1576 b,1.04,6.98471973,1,1,2016
Kepler-55 e,1.55,4.617534,1,5,2014
Kepler-1748 b,3.3,5.823445,1,1,2021
Kepler-357 c,2.179,,1,3,2014
Kepler-745 b,1.92,9.93143556,1,1,2016
Kepler-32 d,2.5,22.78076945,1,5,2012
K2-331 c,2.5,22.99592,1,2,2021
Kepler-149 c,1.66,55.3285813,1,3,2014
K2-203 b,1.37,9.6897,1,1,2018
WASP-160 B b,12.21781,3.7684952,2,1,2018
Kepler-60 d,1.76,11.8984932,1,3,2012
Kepler-248 c,4.14,16.23947096,1,2,2014
Kepler-1438 b,0.88,2.319426,1,1,2016
Kepler-105 c,1.91,7.125967,1,2,2014
Kepler-716 c,1.78,3.96996298,1,2,2020
Kepler-259 c,2.71,36.9249531,1,2,2014
K2-19 b,6.59307857,7.9177855286,1,3,2015
Kepler-415 b,1.61,4.17634525,1,2,2014
Kepler-1470 b,1.15,16.2951259,1,1,2016
Kepler-31 d,3.9,87.6451,1,3,2014
Kepler-109 c,2.65,21.22265,1,2,2014
WASP-47 d,3.567,9.03055,1,4,2015
Kepler-1825 b,1.35,1.025857703,1,1,2021
Kepler-431 c,0.72,8.70312154,1,3,2015
Kepler-534 c,1.06,7.37862283,1,2,2021
Kepler-147 b,1.33,12.6119685,1,2,2014
Kepler-562 b,5.12,18.009314436,1,1,2016
Kepler-607 c,2.76001201,39.67679977,1,2,2021
Kepler-351 b,2.74,37.0548569,1,3,2014
Kepler-1284 b,1.21,0.664073806,1,1,2016
Kepler-1728 b,2.5,4.783002698,1,1,2021
Kepler-877 b,2.3,18.45847097,1,1,2016
K2-389 b,2.118,8.583566,1,2,2022
EPIC 220674823 b,1.87,0.571282,1,2,2016
Kepler-58 b,3.1,10.21866016,1,4,2012
Kepler-1491 b,1.39,16.5861762,1,2,2016
Kepler-951 b,5.105,,2,1,2016
K2-19 d,1.11,2.5081,1,3,2016
Kepler-400 b,1.76,9.024391,1,2,2014
Kepler-271 d,0.71,5.24972541,1,3,2016
Kepler-1335 b,1.61,6.26406846,1,1,2016
Kepler-460 c,6.1,220.1303357,1,2,2016
Kepler-263 b,2.67,16.568087,1,2,2014
Kepler-1026 b,2.21,36.5156053,1,1,2016
Kepler-594 b,2.18,13.64618192,1,1,2016
Kepler-705 b,2.76,56.05623,1,1,2016
Kepler-361 b,1.584,,1,2,2014
TOI-5340 b,13.6199,4.9393117,1,1,2025
Kepler-371 b,1.89,34.763278,1,2,2014
Kepler-462 b,5.04405,84.69,1,2,2016
Kepler-1173 b,0.879,,1,1,2016
Kepler-257 c,4.56,6.581477136,1,3,2014
Kepler-1569 b,1.25,5.79180156,1,1,2016
Kepler-787 b,1.47,0.928310498,1,1,2016
Kepler-1136 b,1.37,2.361718,1,1,2016
Kepler-340 c,3.37,22.824669,1,2,2014
Kepler-1030 b,2.52,19.32952416,1,1,2016
TOI-1438 b,2.25905702,5.1396666,1,2,2025
Kepler-1609 b,2.05,114.34219,1,1,2016
Kepler-229 c,4.92,16.068638,1,3,2014
Kepler-33 c,3.2,13.17562,1,5,2011
Kepler-1266 b,2.58,28.474748,1,2,2016
Kepler-1254 b,1.54,9.99113313,1,3,2016
Kepler-1771 b,2.51,88.6440015,1,1,2021
Kepler-1820 b,2.7,31.032699,1,1,2021
Kepler-1637 b,0.89,6.10960324,1,1,2016
Kepler-1397 b,1.61,47.4497134,1,1,2016
Kepler-879 b,2.57,33.3855938,1,2,2016
HAT-P-35 b,14.930388,3.646706,3,1,2011
WASP-94 A b,19.28,3.9501907,2,2,2014
Kepler-815 b,4.432,,1,1,2016
LTT 3780 b,1.1406447,0.76839038111,2,2,2020
TOI-2015 b,5.37673,3.3491408,1,2,2023
Kepler-161 b,2.14,4.9213639,1,2,2014
Kepler-1389 b,1.77,99.2530951,1,1,2016
Kepler-130 d,1.379,87.5174361,2,3,2014
Kepler-1463 b,1.86,25.15864,1,1,2016
Kepler-1563 b,0.75,3.4327371,1,1,2016
Kepler-778 b,1.68,3.75574426,1,1,2016
Kepler-377 b,1.16,12.50948,1,2,2014
Kepler-475 b,2.47,3.105508189,1,1,2016
Kepler-10 b,1.47,0.8374907,1,3,2011
K2-185 b,1.31284773,10.616646,1,2,2018
Kepler-1032 b,1.49,3.290114076,1,1,2016
Kepler-323 c,1.93,3.553829671,1,2,2014
Kepler-1352 b,0.84,1.877872,1,1,2016
Kepler-515 b,1.75,19.96371318,2,1,2016
Kepler-357 c,2.67,16.85837,1,3,2014
Kepler-1178 b,0.73,31.80634,1,1,2016
Kepler-325 c,3.33,12.76224947,1,3,2014
Kepler-775 b,1.192,0.974868926,1,1,2016
WASP-154 b,11.0835,3.8123614,1,1,2025
Kepler-424 b,10.019,3.311864499,1,2,2014
EPIC 212424622 b,2.17,18.0983,1,1,2019
Kepler-341 c,1.7,8.01041,1,4,2014
Kepler-314 b,0.81,2.46106655,1,2,2014
Kepler-1202 b,2.4,28.6851324,1,1,2016
Kepler-84 e,2.3,27.4345883,1,5,2014
Kepler-29 c,3.14,13.2884,1,2,2011
Kepler-1407 b,2.16,20.0711504,1,1,2016
Kepler-37 d,1.88,39.79223792,1,4,2013
Kepler-1489 b,1.67,82.294751,1,2,2016
Kepler-265 b,1.67,6.84619236,1,4,2014
Kepler-44 b,12.71,3.246732651,1,1,2011
Kepler-684 b,5.751,,1,1,2016
Kepler-370 c,1.91,19.023152,1,2,2014
Kepler-1342 b,1.66,2.215710358,1,1,2016
Kepler-343 b,1.79,8.96848108,1,2,2014
Kepler-281 c,4.9,36.33767,1,3,2014
Kepler-393 b,1.51,9.18247194,1,2,2014
Kepler-84 b,3.03,8.72585936,1,5,2012
Kepler-394 d,1.5,5.61357629,1,3,2021
K2-19 c,4.86,11.90715,1,3,2015
Kepler-237 b,1.5,4.71510365,1,2,2014
Kepler-1608 b,1.63,16.473474,1,1,2016
Kepler-52 d,1.95,36.445171,1,3,2014
Kepler-321 c,2.32,13.093921,1,2,2014
Kepler-780 b,0.89,0.677375164,1,1,2016
Kepler-204 c,1.78,25.6613816,1,2,2014
Kepler-1164 b,1.22,3.97599768,1,1,2016
Kepler-712 c,4.553,,1,2,2016
Kepler-666 b,2.21,4.49876092,1,1,2016
Kepler-493 b,11.42,3.003876581,1,1,2016
Kepler-161 b,2.29,4.921354681,1,2,2014
K2-205 b,2.209,26.682,1,1,2018
TOI-1789 b,16.14093221,3.208664,1,1,2021
K2-224 c,2.5054075,10.09607,1,2,2018
Kepler-260 b,2.108,,1,2,2014
K2-115 b,11.5,20.272602,1,1,2017
Kepler-10 b,1.45,0.837491331,1,3,2011
Kepler-289 c,12.77,125.86543389,1,4,2014
KOI-351 g,6.86,210.6031105,1,8,2013
Kepler-179 b,1.8,2.735903375,1,2,2014
KOI-351 c,1.445,8.71982853,1,8,2013
Kepler-816 b,10.24,10.506825646,1,1,2016
Kepler-833 b,2.139,,1,1,2016
Kepler-1715 b,3.798,35.59713982,1,1,2021
Kepler-79 e,3.0,81.0632,1,4,2014
Kepler-173 b,1.28,4.26374378,1,2,2014
Kepler-24 d,1.72,4.24437621,1,4,2014
